group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
interior,ctx_sym,2277999,445833,-0.05232214703902896,0.7701866169096923,0.8482338888121037,289326,156507,0.6489559992194387,0.7788802673980878,0.8359297080798809,3155,0.6295518725621477,0.681552382297349,0.6292508851753099,0.5070024816297187,0.8561022829649793,0
Q1,ctx_S,495830,726,-0.019713870421231707,0.7622848628595755,0.7442024741355496,348,378,0.4793388429752066,0.771626984126984,0.9627268419805732,84,0.6831955922865014,0.6766101076445904,0.6716740729088836,0.5172413793103449,0.8359788359788359,0
Q1,ctx_D,495830,726,-0.007228134523673049,0.7830763850878794,0.7678221239105352,348,378,0.4793388429752066,0.789616402116402,0.963261815920398,84,0.71900826446281,0.7218345192483124,0.7185896802535474,0.7902298850574713,0.6534391534391535,0
Q1,ctx_sym,495830,726,-0.016404595855079078,0.7960682357234081,0.785889772011267,348,378,0.4793388429752066,0.797883597883598,0.967304104477612,84,0.7382920110192838,0.7364760080277322,0.7368360805860805,0.6925287356321839,0.7804232804232805,0
Q2,ctx_S,495828,8527,-0.060572775467137165,0.7744761410531221,0.7680657625896951,4105,4422,0.4814119854579571,0.7530731907451934,0.893795211691848,1089,0.6793714084672218,0.6706500439888918,0.6562157990077325,0.43605359317904996,0.9052464947987336,0
Q2,ctx_D,495828,8527,-0.014317181523484315,0.7852057396551734,0.7786806454401866,4105,4422,0.4814119854579571,0.7486959671042768,0.8868457358839891,1089,0.6967280403424416,0.7000978663321638,0.6954564121975975,0.7907429963459196,0.6094527363184079,0
Q2,ctx_sym,495828,8527,-0.04540372768244968,0.8000494427430999,0.7982865533778867,4105,4422,0.4814119854579571,0.7672915275052093,0.8984666142826082,1089,0.7362495602204762,0.7332170120497061,0.7330882205060659,0.6516443361753959,0.8147896879240163,0
Q3,ctx_S,495829,31591,-0.09589166795223068,0.743754398140988,0.7186553568593923,14695,16896,0.46516412902408916,0.7316487215290691,0.8220064136495263,2293,0.6607894653540566,0.642172152823961,0.6242198543626909,0.37495746852670975,0.9093868371212122,0
Q3,ctx_D,495829,31591,-0.008155380848997786,0.7701734853156866,0.7429746948518797,14695,16896,0.46516412902408916,0.7407778760327293,0.8120595681259091,2293,0.6825045107783863,0.690241648848557,0.6812409231077903,0.8012929567880231,0.5791903409090909,0
Q3,ctx_sym,495829,31591,-0.06358763463538758,0.775319038408498,0.7502190579155059,14695,16896,0.46516412902408916,0.7470723355173937,0.8211484838765437,2293,0.7130828400493812,0.7066791550510636,0.707250479139024,0.6147669275263695,0.7985913825757576,0
