group,context,targets,different_from_both,correct_third_class,wrong_third_class,rescue_rate,rescue_precision,intrusion_rate,harm_rate,equals_shallow,equals_deep,accuracy,miou
Deep_Win,ctx_sym,314730,13044,0,13044,0.0,0.0,0.04144504813649795,0.04144504813649795,0.10149334350077845,0.8570616083627236,0.8570616083627236,0.7472429655019376
Shallow_Win,ctx_S,182899,11613,0,11613,0.0,0.0,0.06349405956292817,0.06349405956292817,0.7231149432200286,0.2133909972170433,0.7231149432200286,0.328537977258725
Shallow_Win,ctx_D,182899,9634,0,9634,0.0,0.0,0.05267388011962887,0.05267388011962887,0.4927911032865133,0.4545350165938578,0.4927911032865133,0.2163809646833989
Shallow_Win,ctx_sym,182899,9479,0,9479,0.0,0.0,0.05182641785903695,0.05182641785903695,0.6041695143221122,0.34400406781885084,0.6041695143221122,0.2687289979769063
Both_Wrong,ctx_S,393677,161462,132889,28573,0.3375584552818681,0.8230357607362723,0.41013826055370267,0.07257980527183452,0.5307650688254585,0.5075683872819595,0.3375584552818681,0.15081537027900313
Both_Wrong,ctx_D,393677,155388,132095,23293,0.33554157342186613,0.8500978196514531,0.3947093683400351,0.05916779491816895,0.4960183094262555,0.5742093137267353,0.33554157342186613,0.2029525210011548
Both_Wrong,ctx_sym,393677,154221,132298,21923,0.336057224577509,0.857846856135027,0.3917450092334579,0.05568778465594891,0.5179017316226247,0.5615466486485113,0.336057224577509,0.1864786505890526
Both_Correct,ctx_S,1587837,99633,0,99633,0.0,0.0,0.0627476245987466,0.0627476245987466,0.9372523754012534,0.9372523754012534,0.9372523754012534,0.7222843613749116
Both_Correct,ctx_D,1587837,73365,0,73365,0.0,0.0,0.04620436480570739,0.04620436480570739,0.9537956351942927,0.9537956351942927,0.9537956351942927,0.8698144590026572
Both_Correct,ctx_sym,1587837,64497,0,64497,0.0,0.0,0.04061940866726244,0.04061940866726244,0.9593805913327376,0.9593805913327376,0.9593805913327376,0.8972536750545844
Top20,ctx_S,485451,102720,35960,66760,0.0740754473674995,0.3500778816199377,0.21159705098969825,0.13752160362219873,0.4680266391458664,0.45141734181204696,0.5680140735110237,0.35320897254495737
Top20,ctx_D,485451,54037,30423,23614,0.06266955882262061,0.5630031274867221,0.11131298524464879,0.04864342642202817,0.2910571818782946,0.7687923188952129,0.6975492892176554,0.5475828299416996
Top20,ctx_sym,485451,61734,33684,28050,0.0693870236130938,0.5456312566818933,0.12716834448790917,0.05778132087481538,0.3383245682880455,0.7000871354678433,0.7103332777149496,0.5665648341498143
Bottom80,ctx_S,1993692,206909,96929,109980,0.048617840669471515,0.4684619808708176,0.10378182788514977,0.05516398721567825,0.8507718343655891,0.8485508293156616,0.8333513902849587,0.5277038768223345
Bottom80,ctx_D,1993692,195556,101672,93884,0.05099684404612147,0.519912454744421,0.09808736755727565,0.047090523511154184,0.8424922204633414,0.8691824012936803,0.842911543006643,0.621686536204128
Bottom80,ctx_sym,1993692,179507,98614,80893,0.049463006321939396,0.5493601920816459,0.09003747820626255,0.04057447188432316,0.8554134740973028,0.8713537497266378,0.8482007250869241,0.6121712224074949
Top20_Both_Wrong,ctx_S,93112,43557,35960,7597,0.38620156370822234,0.8255848658080217,0.4677914769310078,0.08158991322278546,0.3772016496262566,0.3106581321419366,0.38620156370822234,0.17720893157041312
Top20_Both_Wrong,ctx_D,93112,34954,30423,4531,0.32673554429074664,0.8703724895577044,0.3753973709081536,0.04866182661740699,0.28827648423404073,0.5558467222269955,0.32673554429074664,0.1883828378524973
Top20_Both_Wrong,ctx_sym,93112,38849,33684,5165,0.3617578829796374,0.8670493448994826,0.4172287138070281,0.05547083082739067,0.3170912449523155,0.46683563880058426,0.3617578829796374,0.19777196380201414
Deep_Correct,ctx_S,1902567,136554,0,136554,0.0,0.0,0.07177355646345175,0.07177355646345175,0.8315996230356145,0.8788352788627155,0.8788352788627155,0.6217458094681126
Deep_Correct,ctx_D,1902567,84571,0,84571,0.0,0.0,0.044450996995112395,0.044450996995112395,0.8071000916130681,0.9444639794551256,0.9444639794551256,0.8801020732045621
Deep_Correct,ctx_sym,1902567,77541,0,77541,0.0,0.0,0.04075598914519173,0.04075598914519173,0.8174655610025823,0.9424545889842513,0.9424545889842513,0.8694714203201556
