group,field,targets,mean,std,median,p05,p25,p50,p75,p95,ci95_low,ci95_high
Q2,B_S,495828,0.04743280859546921,0.10798093461712399,0.025827080011367798,-0.10306685268878936,-0.016254320740699768,0.025827080011367798,0.10576467216014862,0.24611521065235123,0.04568972588305742,0.049167466149485826
Q2,B_D,495828,0.028758193902263876,0.1282901377198762,0.04899853467941284,-0.20359440743923188,-0.0464838445186615,0.04899853467941284,0.10820813477039337,0.21406118869781493,0.026576493819581343,0.030938483123871076
Q2,B_family,495828,0.03809550124885903,0.020190582612272134,0.037248820066452026,0.006429229676723482,0.026012327522039413,0.037248820066452026,0.05035223439335823,0.0717748299241066,0.037763457537503216,0.03842441518857615
Q3,B_S,495829,0.11019028437919487,0.09341368710482013,0.09352725744247437,-0.015535867214202876,0.04998046159744263,0.09352725744247437,0.16341263055801392,0.27584971189498897,0.10874284997370903,0.11164988703014934
Q3,B_D,495829,0.03172662085693719,0.13357951657134814,0.04886329174041748,-0.19951376914978028,-0.055181682109832764,0.04886329174041748,0.1178545355796814,0.22772455215454085,0.02951358808381905,0.03396656794478236
Q3,B_family,495829,0.07095845261808857,0.036184540223843785,0.0711871087551117,0.011135578155517578,0.049007415771484375,0.0711871087551117,0.0934426486492157,0.12886065244674683,0.0703154047026496,0.07159778484481918
Q4,B_S,495828,0.17623041673364867,0.08058725775845893,0.1680830419063568,0.06560641527175903,0.12380558252334595,0.1680830419063568,0.21855081617832184,0.3140986740589142,0.17489584305776265,0.1775482459718509
Q4,B_D,495828,0.05492524703233114,0.14217160223812944,0.06253218650817871,-0.17863661646842957,-0.03612937033176422,0.06253218650817871,0.14175498485565186,0.2725481629371642,0.05237663913683554,0.05743593085607696
Q4,B_family,495828,0.11557783188114164,0.06100860428702016,0.11407911777496338,0.019315740466117857,0.07757779210805893,0.11407911777496338,0.15085916966199875,0.2147233411669731,0.1143531398706186,0.1167872105704104
Q5,B_S,495828,0.29185370306076586,0.12575903253237677,0.2696512043476105,0.12531246840953827,0.20799420773983002,0.2696512043476105,0.35450930893421173,0.5475969940423965,0.28685971322597603,0.2968554421328788
Q5,B_D,495828,0.1640757843845131,0.19693055081993882,0.13833296298980713,-0.11962302476167679,0.030983924865722656,0.13833296298980713,0.266723595559597,0.5606082409620284,0.15593412785983565,0.17241662917865977
Q5,B_family,495828,0.2279647437299349,0.14537226419416802,0.19779522716999054,0.03868775516748429,0.1300785429775715,0.19779522716999054,0.2945280969142914,0.5355870872735977,0.22147631962963799,0.2345972094795533
Corrected_by_CH,B_S,305318,0.2846314465682261,0.1377875517508946,0.2609592080116272,0.09762446582317352,0.19186072051525116,0.2609592080116272,0.3560142144560814,0.563631922006607,0.2776272897401072,0.2914721235389305
Corrected_by_CH,B_D,305318,0.12861837433409662,0.2291474653013744,0.10417282581329346,-0.20280582010746,-0.03569921851158142,0.10417282581329346,0.25404565781354904,0.5726870298385619,0.11792699261822633,0.13930319722585238
Corrected_by_CH,B_family,305318,0.20662491046276482,0.16241522433343314,0.16673052310943604,0.013264170289039612,0.08430502563714981,0.16673052310943604,0.2833481952548027,0.5512114554643625,0.19788787991454415,0.21523803992736157
Still_Wrong,B_S,378130,0.2024448696254653,0.1496600864403018,0.20239099115133286,-0.0478150486946106,0.11700285971164703,0.20239099115133286,0.2852845937013626,0.45292834341526017,0.19791160891257897,0.2070986478717491
