group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
Top20,old,485451,323902,-0.2684646436796993,0.6589776204103654,0.8062890244888377,220561,103341,0.6809497934560453,0.7527279180860383,0.8527515637439674,2915,0.45125068693617204,0.5807062356839748,0.439037323177504,0.22299499911589085,0.9384174722520587,0
Top20,sym,485451,323902,-0.04136557784615044,0.797646208980202,0.8700808451940216,220561,103341,0.6809497934560453,0.7814364625311788,0.8519452022351425,2915,0.6794308154935752,0.709901800562908,0.6695739571709654,0.6257044536432098,0.7940991474826061,0
Bottom80,old,1993692,173727,-0.08917892685250041,0.7150707266862639,0.7462528602794728,94169,79558,0.5420516097094867,0.7299917045491902,0.8037157084898675,3121,0.6078905409061344,0.6313699171019416,0.5867707916142386,0.35219658273954274,0.9105432514643405,0
Bottom80,sym,1993692,173727,-0.02924558536062878,0.7922176591923603,0.8087942557161978,94169,79558,0.5420516097094867,0.7795786701591906,0.8253412933290732,3121,0.7259608466156671,0.7306833602802635,0.7259531445105174,0.6745319585001434,0.7868347620603836,0
Top20_Both_Wrong,old,93112,0,-0.3170383904202563,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Top20_Both_Wrong,sym,93112,0,-0.13762427531217974,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Deep_Correct,old,1902567,314730,-0.09556744784485154,nan,1.0,314730,0,1.0,nan,1.0,0,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,0
Deep_Correct,sym,1902567,314730,-0.006048732032570135,nan,1.0,314730,0,1.0,nan,1.0,0,0.6403139198678233,nan,0.3903605962933118,0.6403139198678233,nan,0
Top20_Deep_Correct,old,288998,220561,-0.21722525538536308,nan,1.0,220561,0,1.0,nan,1.0,0,0.22299499911589085,nan,0.18233516839978497,0.22299499911589085,nan,0
Top20_Deep_Correct,sym,288998,220561,0.04331123528795038,nan,1.0,220561,0,1.0,nan,1.0,0,0.6257044536432098,nan,0.3848820443599104,0.6257044536432098,nan,0
Deep_Wrong,old,576576,182899,-0.2190487814781283,nan,nan,0,182899,0.0,nan,nan,0,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,0
Deep_Wrong,sym,576576,182899,-0.1159943055950706,nan,nan,0,182899,0.0,nan,nan,0,0.7909392615596587,nan,0.4416337720302478,nan,0.7909392615596587,0
Top20_Deep_Wrong,old,196453,103341,-0.34384186234414615,nan,nan,0,103341,0.0,nan,nan,0,0.9384174722520587,nan,0.4841152567417806,nan,0.9384174722520587,0
Top20_Deep_Wrong,sym,196453,103341,-0.16593190995677676,nan,nan,0,103341,0.0,nan,nan,0,0.7940991474826061,nan,0.4426172035123298,nan,0.7940991474826061,0
Shallow_Correct,old,1770736,182899,-0.10227368686356043,nan,nan,0,182899,0.0,nan,nan,0,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,0
Shallow_Correct,sym,1770736,182899,-0.03462843062569474,nan,nan,0,182899,0.0,nan,nan,0,0.7909392615596587,nan,0.4416337720302478,nan,0.7909392615596587,0
Top20_Shallow_Correct,old,171778,103341,-0.3087086552772326,nan,nan,0,103341,0.0,nan,nan,0,0.9384174722520587,nan,0.4841152567417806,nan,0.9384174722520587,0
Top20_Shallow_Correct,sym,171778,103341,-0.1312609719579364,nan,nan,0,103341,0.0,nan,nan,0,0.7940991474826061,nan,0.4426172035123298,nan,0.7940991474826061,0
Shallow_Wrong,old,708407,314730,-0.17930659012592395,nan,1.0,314730,0,1.0,nan,1.0,0,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,0
