group,field,targets,mean,std,median,p05,p25,p50,p75,p95
pair1_0,T_DD,66979,0.7192614572175113,0.1950231022992354,0.7326822280883789,0.36289447247982026,0.5934109389781952,0.7326822280883789,0.8759186863899231,0.9972349047660828
pair1_2,T_SS,76360,0.8214951617074394,0.08055799249996934,0.8383372128009796,0.6656973659992218,0.7848871648311615,0.8383372128009796,0.8760066777467728,0.9190744787454606
pair1_2,T_SD,76360,0.5866717811772183,0.1373264992707156,0.6026327908039093,0.3308545470237732,0.5104679316282272,0.6026327908039093,0.6799415647983551,0.7849493980407717
pair1_2,T_DS,76360,0.5931394181850929,0.1567088510116856,0.6036036312580109,0.3225409954786301,0.47629282623529434,0.6036036312580109,0.7190140336751938,0.8274913489818573
pair1_2,T_DD,76360,0.7032862476079059,0.20017362427572247,0.737496018409729,0.3130004465579987,0.5786617547273636,0.737496018409729,0.8555665910243988,0.981356692314148
pair1_3,T_SS,86266,0.8788027248982471,0.07771218779116033,0.8995826542377472,0.7242557853460312,0.8491083085536957,0.8995826542377472,0.9320980161428452,0.9598222821950912
pair1_3,T_SD,86266,0.5130293203159078,0.17100331808400684,0.5266270339488983,0.21102410554885864,0.3977603018283844,0.5266270339488983,0.636033833026886,0.7742766588926315
pair1_3,T_DS,86266,0.3860497468554726,0.16297175402014136,0.3660488724708557,0.15447186306118965,0.26739000529050827,0.3660488724708557,0.4799673333764076,0.7011011689901352
pair1_3,T_DD,86266,0.6608131297357496,0.255421067384979,0.6658851504325867,0.2321355603635311,0.45609867572784424,0.6658851504325867,0.9110177159309387,0.9996944665908813
pair2_0,T_SS,5604,0.6773621198361597,0.13953218445068094,0.7024791836738586,0.40080263614654543,0.6022005081176758,0.7024791836738586,0.7771556228399277,0.8702110975980755
pair2_0,T_SD,5604,0.47111194742262513,0.1525788951586345,0.48265671730041504,0.19649557247757912,0.37602168321609497,0.48265671730041504,0.5646937638521194,0.7225284218788146
pair2_0,T_DS,5604,0.7924661364334553,0.10469238860693247,0.8165039718151093,0.58991579413414,0.7300844639539719,0.8165039718151093,0.8713699132204056,0.9238492548465729
