draw,teacher-fixed_miou,teacher-fixed_accuracy,teacher-vs-rect_NetRepair,fixed-vs-rect_NetRepair,CCA:all:mean_dm,CCA:Top20:mean_dm,CCA:class0:mean_dm,CCA:class1:mean_dm,CCA:class2:mean_dm,CCA:class3:mean_dm,CCA:all:benefit_rate,CCA-U:all:benefit_rate,CCA-U:all:mean_dm,CCA-U:Top20:mean_dm,CCA-FA:all:benefit_rate,CCA-FA:all:mean_dm,CCA-FA:Top20:mean_dm
20,0.02012858888620017,0.011350455575229356,-0.031075352267657036,-0.042425807842886396,-0.00029063541466691384,-0.0006945566058488716,-0.00035788182444725656,-0.0002659274430994732,-0.00027226150510234237,-6.666298971847644e-05,0.17528109597153776,0.0,-9.785176565447249e-05,-0.0004169655628109064,0.0011751978142366705,4.568784193372764e-05,0.00018676491926578363
21,0.018962546647303236,0.010919498955417425,-0.032563217620966214,-0.04348271657638364,-0.00028292157245475325,-0.0006614660447844513,-0.0003563815316130823,-0.00024210191382760028,-0.0002929227525983745,-5.227446653963441e-05,0.18374526225921947,0.0,-9.293692429410701e-05,-0.00039711397951267414,0.0010708080929529207,4.21152975588792e-05,0.000169870987948508
22,0.02023158405608838,0.011635694530622066,-0.034305982070300216,-0.04594167660092228,-0.0002955296615003026,-0.0007036784460743458,-0.0003767977503114655,-0.00026596655257313484,-0.00023741184593160749,-0.00010548478951017804,0.1792473433856024,0.0,-9.66536420745063e-05,-0.0004169646440466948,0.0011505301117951943,4.3562600105056726e-05,0.00017445514267275743
23,0.020397976109074678,0.011394074340212688,-0.03334200670723013,-0.04473608104744282,-0.00029626356948657227,-0.0007086635085099247,-0.0003607556903492136,-0.00026767273137893,-0.00027402861287825975,-0.00011876269533159094,0.1764877185831198,0.0,-9.750420031530028e-05,-0.00041488513463305284,0.00109316734160553,4.3431163559428715e-05,0.00017531237137695074
24,0.019390514290654526,0.011258264301674046,-0.0334519796133155,-0.04471024391498955,-0.000288152441700971,-0.0006693437586655182,-0.00036019556259725313,-0.0002501546712689347,-0.00026025788986620173,-0.00013056428577776132,0.1821784550469426,0.0,-9.47388186496198e-05,-0.00039682726527754146,0.0012619065039441112,4.3007178231359837e-05,0.00017127290224653154
25,0.020130716145036365,0.011336568169518203,-0.03241270395204243,-0.043749272121560635,-0.0002921149281614906,-0.0006942566173902114,-0.00036597644534549617,-0.00025474291250928566,-0.0002752413114405086,-0.00012751671890373484,0.17939518691515347,0.0,-9.551688823896533e-05,-0.0004090215932550356,0.0010815921003478907,4.3265701620599645e-05,0.00017396729535092175
26,0.019866508824115114,0.011190208800589432,-0.03460846237986582,-0.045798671180455254,-0.0002897918059751002,-0.0006985568657270686,-0.0003546527326285846,-0.0002605781456807836,-0.00024884347489549007,-0.0001314720066438901,0.18191787869247272,0.0,-9.580640453522404e-05,-0.0004149711080741618,0.0010946370089550883,4.196728451392199e-05,0.0001704694150124618
27,0.019517147073422336,0.011298558411149039,-0.031878579287386806,-0.043177137698535845,-0.000290406605613576,-0.0006815260194669983,-0.00036395636169464735,-0.00025797794873036163,-0.000260232956245475,-0.0001317854094223346,0.17964204103510673,0.0,-9.712578717082055e-05,-0.0004038596360957576,0.0011945399368876674,4.311747366828818e-05,0.00017151933241115925
28,0.020611574510046138,0.011527744426698985,-0.032312897761976975,-0.04384064218867596,-0.00029430041046703964,-0.0006991943326010873,-0.00037178856991577935,-0.0002501060722168204,-0.0002939862129366406,-9.40914422992119e-05,0.17428602279118716,0.0,-9.806753445515368e-05,-0.0004192999048858375,0.001240928730400981,4.49316202623088e-05,0.00018337662122428907
29,0.020446999182513248,0.01117268805150711,-0.032676922430822854,-0.043849610482329965,-0.0002925602158989765,-0.0006837621048390912,-0.0003485029495506074,-0.00025852057372258776,-0.00029966910351570395,-0.00015827021146653473,0.17604656121234244,0.0,-9.340847079958581e-05,-0.0003942908605767759,0.0011435973891090116,4.241167475141522e-05,0.00016831649531201637
