stratum,quantity,count,mean,std,median,min,max
boundary,S_R,201144,0.715119236397328,0.11364375574291181,0.7262865304946899,0.11324432492256165,0.9936532974243164
boundary,S_T,201144,0.7560259903226353,0.10567129713579235,0.770690381526947,0.10570432245731354,0.9934988021850586
boundary,delta,201144,0.04090675392441826,0.08386405832254998,0.03648194670677185,-0.6879867911338806,0.6416715383529663
interior,R_S,2277999,0.7831631499128249,0.12144950504933695,0.8040915131568909,0.1691502034664154,0.9978228211402893
interior,R_D,2277999,0.8264063343574085,0.17150786199340926,0.8747246861457825,0.0027755380142480135,1.0
interior,T_S,2277999,0.859960766903017,0.09503673596433597,0.8812381029129028,0.1603906899690628,0.9988170862197876
interior,T_D,2277999,0.8110768521976512,0.1481673668909738,0.8343831300735474,0.02540389634668827,0.9999984502792358
interior,S_R,2277999,0.8047847421243447,0.1254320965664861,0.8217735290527344,0.11223627626895905,0.9989097714424133
interior,S_T,2277999,0.8355188095722655,0.1107278930502546,0.8538510799407959,0.09940437972545624,0.9987704753875732
interior,delta,2277999,0.030734067447829267,0.06957480590607162,0.02140986919403076,-0.8131639957427979,0.7804721593856812
Corrected_by_CH,R_S,305318,0.7085783238799916,0.1452381783021988,0.7499536275863647,0.16534702479839325,0.9843111038208008
Corrected_by_CH,R_D,305318,0.8102879889834015,0.13846679772627005,0.8204582333564758,0.07707403600215912,1.0
Corrected_by_CH,T_S,305318,0.8326938025288444,0.0887066729022715,0.8508948087692261,0.13681328296661377,0.9834174513816833
Corrected_by_CH,T_D,305318,0.716217930451177,0.12820098875482633,0.7504152655601501,0.03215501829981804,0.9883663058280945
Corrected_by_CH,S_R,305318,0.7594331564731324,0.09603956394360576,0.7616515159606934,0.16601233184337616,0.9894997477531433
Corrected_by_CH,S_T,305318,0.7744558665405487,0.10043947505571915,0.798480212688446,0.09940437972545624,0.9666344523429871
Corrected_by_CH,delta,305318,0.015022710066391371,0.11131570399440897,0.023294925689697266,-0.7873077988624573,0.7168903350830078
Still_Wrong,R_S,378130,0.7246540477226715,0.11732574637432486,0.7456774711608887,0.1691502034664154,0.9862398505210876
Still_Wrong,R_D,378130,0.6508498315794204,0.18094874903949015,0.6627389192581177,0.0027755380142480135,1.0
Still_Wrong,T_S,378130,0.799114033102168,0.11067435293188253,0.8258583545684814,0.14854833483695984,0.9937545657157898
Still_Wrong,T_D,378130,0.6774411550604523,0.1475966936202808,0.6931003332138062,0.02540389634668827,0.9999944567680359
Still_Wrong,S_R,378130,0.6877519396091136,0.12249011188032598,0.704531192779541,0.11223627626895905,0.9927805662155151
Still_Wrong,S_T,378130,0.7382775941014178,0.11445301916484081,0.7591561675071716,0.10570432245731354,0.9934810400009155
Still_Wrong,delta,378130,0.050525654491752475,0.09260841441428634,0.04011857509613037,-0.6879867911338806,0.7804721593856812
Harmed_by_CH,R_S,69617,0.7497297850403041,0.11444010217350982,0.7761735916137695,0.3037039339542389,0.9787275791168213
Harmed_by_CH,R_D,69617,0.7173040356805802,0.12521698609101112,0.7207343578338623,0.08270888775587082,0.9999991655349731
Harmed_by_CH,T_S,69617,0.815972613708825,0.08899243716503732,0.8351939916610718,0.1988900601863861,0.9805703163146973
Harmed_by_CH,T_D,69617,0.6805291973276587,0.11615348191175633,0.6951727867126465,0.03552904725074768,0.9837276935577393
Harmed_by_CH,S_R,69617,0.733516910395171,0.09303448684894856,0.7482321262359619,0.24557167291641235,0.9863402843475342
Harmed_by_CH,S_T,69617,0.7482509056207961,0.09401946224132311,0.765648603439331,0.12827789783477783,0.9552991986274719
Harmed_by_CH,delta,69617,0.014733995221558337,0.10780095254113106,0.01861029863357544,-0.8131639957427979,0.5763307213783264
Stable_Correct,R_S,1726078,0.8032236842592502,0.10937575384506026,0.8194799423217773,0.21399544179439545,0.9978228211402893
Stable_Correct,R_D,1726078,0.8585173046687206,0.15463333024103137,0.9166288375854492,0.009465067647397518,1.0
Stable_Correct,T_S,1726078,0.8732093695355417,0.08895576833493195,0.895843505859375,0.20321477949619293,0.9988170862197876
Stable_Correct,T_D,1726078,0.850548071619147,0.12807266250382549,0.8818126916885376,0.029423387721180916,0.9999984502792358
Stable_Correct,S_R,1726078,0.8308704944486754,0.11699895063097629,0.8583724498748779,0.15930253267288208,0.9989097714424133
Stable_Correct,S_T,1726078,0.8618787205848567,0.09733965738648544,0.8861024379730225,0.14712512493133545,0.9987704753875732
Stable_Correct,delta,1726078,0.031008226136422998,0.0504075542865734,0.020059436559677124,-0.6157435178756714,0.7027570605278015
