signal_set,signal,scope,scope_id,branch,samples,positive_fraction,auroc_relative_gain_positive
A,cam_class1_max,branch,1,cam28_1,3418,0.2864248098303101,0.5002050020500205
A,cam_class1_max,branch,2,cam28_2,3418,0.2393212404915155,0.5136538461538461
A,cam_class1_max,branch,3,camdeep,3418,0.21181977764774723,0.500927988121752
A,cam_class1_p90,all,-1,all,13672,0.24049151550614395,0.630970636324272
A,cam_class1_p90,fold,0,all,2748,0.23071324599708878,0.6613182657900314
A,cam_class1_p90,fold,1,all,2744,0.20298833819241982,0.5767063248722046
A,cam_class1_p90,fold,2,all,2692,0.23068350668647847,0.7025490420195771
A,cam_class1_p90,fold,3,all,2724,0.19823788546255505,0.6544914190747524
A,cam_class1_p90,fold,4,all,2764,0.3386396526772793,0.577511618881969
A,cam_class1_p90,branch,0,cam56,3418,0.22440023405500292,0.6172908602052705
A,cam_class1_p90,branch,1,cam28_1,3418,0.2864248098303101,0.6563060012622598
A,cam_class1_p90,branch,2,cam28_2,3418,0.2393212404915155,0.631039825089336
A,cam_class1_p90,branch,3,camdeep,3418,0.21181977764774723,0.6084310540714581
A,cam_class1_p95,all,-1,all,13672,0.24049151550614395,0.6258452785306986
A,cam_class1_p95,fold,0,all,2748,0.23071324599708878,0.6494908511381237
A,cam_class1_p95,fold,1,all,2744,0.20298833819241982,0.5730245394895084
A,cam_class1_p95,fold,2,all,2692,0.23068350668647847,0.7010444828554122
A,cam_class1_p95,fold,3,all,2724,0.19823788546255505,0.6532852564102564
A,cam_class1_p95,fold,4,all,2764,0.3386396526772793,0.5698260908189792
A,cam_class1_p95,branch,0,cam56,3418,0.22440023405500292,0.6224395900885106
A,cam_class1_p95,branch,1,cam28_1,3418,0.2864248098303101,0.6589582545467947
A,cam_class1_p95,branch,2,cam28_2,3418,0.2393212404915155,0.6216404927590747
A,cam_class1_p95,branch,3,camdeep,3418,0.21181977764774723,0.5981232081113339
A,cam_class1_p99,all,-1,all,13672,0.24049151550614395,0.6071094133684988
A,cam_class1_p99,fold,0,all,2748,0.23071324599708878,0.6372631457998204
A,cam_class1_p99,fold,1,all,2744,0.20298833819241982,0.5638574274786788
A,cam_class1_p99,fold,2,all,2692,0.23068350668647847,0.6809393736524088
A,cam_class1_p99,fold,3,all,2724,0.19823788546255505,0.6361437559354226
A,cam_class1_p99,fold,4,all,2764,0.3386396526772793,0.5340080233406272
A,cam_class1_p99,branch,0,cam56,3418,0.22440023405500292,0.619281204062131
A,cam_class1_p99,branch,1,cam28_1,3418,0.2864248098303101,0.6393974154246139
A,cam_class1_p99,branch,2,cam28_2,3418,0.2393212404915155,0.6119021534700018
A,cam_class1_p99,branch,3,camdeep,3418,0.21181977764774723,0.588639272047152
A,cam_class1_spatial_entropy,all,-1,all,13672,0.24049151550614395,0.6336607806460622
A,cam_class1_spatial_entropy,fold,0,all,2748,0.23071324599708878,0.7028970152416368
A,cam_class1_spatial_entropy,fold,1,all,2744,0.20298833819241982,0.5582046350271187
A,cam_class1_spatial_entropy,fold,2,all,2692,0.23068350668647847,0.711724909046094
A,cam_class1_spatial_entropy,fold,3,all,2724,0.19823788546255505,0.6227394519061187
A,cam_class1_spatial_entropy,fold,4,all,2764,0.3386396526772793,0.5876877840430904
A,cam_class1_spatial_entropy,branch,0,cam56,3418,0.22440023405500292,0.6072752059811628
A,cam_class1_spatial_entropy,branch,1,cam28_1,3418,0.2864248098303101,0.6118599235021972
