replicate,sampling_unit,sampled_slides,delta_mIoU
232,source_slide,22,-0.6981839545842305
233,source_slide,22,-0.7917437242680347
234,source_slide,22,-0.7835191887898385
235,source_slide,22,-0.7567399609041625
236,source_slide,22,-0.6794323403427005
237,source_slide,22,-0.6676275447880853
238,source_slide,22,-0.6793819722911376
239,source_slide,22,-0.5038238138109552
240,source_slide,22,-0.6086047242781056
241,source_slide,22,-0.5667450027168952
242,source_slide,22,-0.5020553934710348
243,source_slide,22,-0.8095973705112058
244,source_slide,22,-1.0216348338503378
245,source_slide,22,-0.7891951064638691
246,source_slide,22,-0.8666079646328595
247,source_slide,22,-0.6247049190158394
248,source_slide,22,-1.0566779957109418
249,source_slide,22,-0.7047659285476016
250,source_slide,22,-0.47118190382615666
251,source_slide,22,-0.6283062380920024
252,source_slide,22,-0.5904659636844167
253,source_slide,22,-0.7764360451035679
254,source_slide,22,-0.7183825418638157
255,source_slide,22,-0.4451090816108838
256,source_slide,22,-1.0283448957061125
257,source_slide,22,-0.6860209474567447
258,source_slide,22,-0.7448062267903177
259,source_slide,22,-1.023441867112962
260,source_slide,22,-0.5000160357264916
261,source_slide,22,-0.49124751439216796
262,source_slide,22,-0.6632832069822348
263,source_slide,22,-0.7500071680680676
264,source_slide,22,-0.47392335869616
265,source_slide,22,-0.8794407134822158
266,source_slide,22,-0.6335459884544092
267,source_slide,22,-0.7382080264336954
268,source_slide,22,-0.5966017895946862
269,source_slide,22,-1.0239954874433854
270,source_slide,22,-0.8664287837815032
271,source_slide,22,-0.7368257690297919
272,source_slide,22,-0.5554301090745062
273,source_slide,22,-0.7861075675391405
274,source_slide,22,-0.5898463603628334
275,source_slide,22,-1.0397293519706086
276,source_slide,22,-0.5789939376060427
277,source_slide,22,-0.9076999549331943
278,source_slide,22,-0.615435086547822
279,source_slide,22,-0.8390166953973321
280,source_slide,22,-0.7586906333718169
281,source_slide,22,-0.8565348023418573
282,source_slide,22,-0.7067656273826994
283,source_slide,22,-0.735184676051337
284,source_slide,22,-0.6980778119239472
285,source_slide,22,-0.7373474746180886
286,source_slide,22,-0.6458289004613427
287,source_slide,22,-0.6585162033804215
288,source_slide,22,-0.8997145247532923
289,source_slide,22,-0.7632786851143547
290,source_slide,22,-0.7432497327605203
291,source_slide,22,-0.6138677034475015
292,source_slide,22,-0.6353679248843003
293,source_slide,22,-0.7864698772740764
294,source_slide,22,-0.6563703700603551
295,source_slide,22,-0.7493053700469932
296,source_slide,22,-0.6584421641819604
297,source_slide,22,-0.9667929471590897
298,source_slide,22,-0.4957458173800555
299,source_slide,22,-0.6844037921375556
300,source_slide,22,-0.7665759816698148
301,source_slide,22,-0.8489607688863643
302,source_slide,22,-0.4881830468079995
303,source_slide,22,-0.6352092825732458
304,source_slide,22,-0.427253725163923
305,source_slide,22,-0.9026743348409583
306,source_slide,22,-0.7958199982761371
307,source_slide,22,-0.7075940299914873
308,source_slide,22,-0.8897959973179659
309,source_slide,22,-0.46503984201919923
310,source_slide,22,-0.852108870754531
311,source_slide,22,-0.6351577100852546
312,source_slide,22,-0.7593761192920767
313,source_slide,22,-0.9745149194274494
314,source_slide,22,-0.7048500861860929
315,source_slide,22,-0.7115542617685655
316,source_slide,22,-0.5442667934167811
317,source_slide,22,-0.5639577706605281
318,source_slide,22,-0.9820575697483958
319,source_slide,22,-0.698072150994633
320,source_slide,22,-0.7674657290604792
321,source_slide,22,-0.6390544674887977
322,source_slide,22,-0.5870154633649594
323,source_slide,22,-0.7450781886495061
324,source_slide,22,-0.9955235911309979
325,source_slide,22,-0.4590856727368475
326,source_slide,22,-0.5245049661487533
327,source_slide,22,-0.7667547925295559
328,source_slide,22,-0.7164752454315471
329,source_slide,22,-0.568140220986646
330,source_slide,22,-0.881378166816682
331,source_slide,22,-0.49490780186910444
332,source_slide,22,-1.0281503407720605
333,source_slide,22,-0.5302357773392163
334,source_slide,22,-0.5629136201383389
335,source_slide,22,-0.6105846198139697
336,source_slide,22,-0.5054176600158722
337,source_slide,22,-0.7205268326592518
338,source_slide,22,-0.6894701345553256
339,source_slide,22,-0.5906666379833392
