image_id,mIoU,mDice
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+114,0.356978389125857,0.2584198407297238
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+115,0.5886473386710599,0.36015390378036316
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+116,1.0,0.25
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+117,1.0,0.25
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+118,1.0,0.25
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+119,0.4596619897959184,0.23949160990197707
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+12,1.0,0.25
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+120,0.48923788265306123,0.24728019985494398
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+121,1.0,0.25
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+122,1.0,0.25
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+123,0.33204858645451274,0.20969938769767557
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+124,0.5081499546760802,0.33445220849896107
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+125,0.4965222417091837,0.24912752617421477
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+126,1.0,0.25
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+127,0.7840608476197932,0.4393211259688603
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+128,0.6503045350109505,0.39092933903102056
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+129,0.7223071653047617,0.41801250310593185
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+13,1.0,0.25
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+130,0.36470854329665553,0.24944246854303792
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+131,0.4951869419642857,0.24879091610009113
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+132,0.26077516493122527,0.27082267039848423
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+133,0.24950425476921165,0.21659529913515232
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+134,0.1662391827663459,0.1888929900735753
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+135,0.3210499043367347,0.24530724952539518
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+136,0.41751036352040816,0.2275235136955058
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+137,1.0,0.25
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+138,0.36830329732155587,0.26888937823910264
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+139,0.3745803973344837,0.21580609247859772
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+14,0.4733039700255102,0.24314293612359608
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+140,0.4656961260930311,0.2705686809488982
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+141,0.6686477687367114,0.3986897918178669
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+142,0.6357395272106474,0.38636466898964894
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+143,0.5064822141478673,0.3349305252253517
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+144,0.2693758198656047,0.28308347183181826
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+145,0.2891527311896662,0.2506657640622427
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+146,0.2524283978751601,0.1678594975718339
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+147,0.3154310671428558,0.2980398902140637
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+148,0.1719769563555209,0.19377319894600709
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+149,0.45888472576530615,0.2392804439548563
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+15,0.6136945966471248,0.38001179062129564
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+150,1.0,0.25
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+151,0.48205596183509175,0.30394582086173827
