group,estimator,accuracy,miou,dice,iou_class0,iou_class1,iou_class2,iou_class3,nll,brier,targets,coverage
Q5,SC,0.6109416975241414,0.41910348599037306,0.5818383715548487,0.41993791824996873,0.474755741981687,0.5368977109012326,0.24482257282860373,0.9022912890747479,0.5003050068063598,495828,1.0
Q5,SRSC,0.6326488217688392,0.4543660409239571,0.6218248289731304,0.42459687526109113,0.4850189646769648,0.544989487277122,0.36285883648065037,0.8726159741386944,0.48349666586108603,495828,1.0
Q5,raw,0.3296102680768331,0.16821280476871564,0.2832000561741271,0.22264506097061953,0.23608775938951096,0.11565253347752791,0.09846586523720409,1.4207821029872687,0.7957707028324599,495828,1.0
Q5,deep,0.5952447219600345,0.42907081440531103,0.5949083687028047,0.3008413678546925,0.39119948166152946,0.5130931139919006,0.5111492941131214,3.088622377676746,0.7450487374824561,495828,1.0
Q5,oracle,0.6447976441401011,0.424652585577482,0.5654876004852016,0.5227475558289509,0.5417976295860915,0.5408454754601227,0.09321968143476285,0.8898667668889281,0.48319959396140855,495785,0.9999132763780989
boundary,U,0.48893827307799387,0.23875970192102672,0.3662095010167032,0.38535170413343,0.3456830245910519,0.16482579022988506,0.05917828872973992,1.0389898404157991,0.6088578987998036,201144,1.0
boundary,SR,0.4920952153680945,0.2518864139482882,0.3870675912192869,0.3855793027941596,0.3426953187643054,0.19680439824757323,0.0824666359871146,1.0394227951088413,0.6117986043407146,201144,1.0
boundary,SC,0.5087002346577576,0.2779178960784071,0.4239749206490293,0.37343062452060877,0.36862593562606444,0.25077143375753785,0.11884359040941747,1.0458268231938843,0.6126822057185287,201144,1.0
boundary,SRSC,0.509774092192658,0.28677443186442114,0.43733360691201506,0.3738823124360779,0.36621660649819493,0.2602204686942385,0.14677833982917324,1.0568348536613488,0.6214829501436336,201144,1.0
boundary,raw,0.5014467247345186,0.26198740425988953,0.40088609522307805,0.3557907965970611,0.37973925865366365,0.22467285126251765,0.08774671052631579,1.2884973665398678,0.6834667449770012,201144,1.0
boundary,deep,0.49653482082488165,0.29635887387275106,0.45373320866931666,0.336376731050596,0.36363376640073136,0.28093781855249744,0.20448717948717948,4.403630562515092,0.9102140082469512,201144,1.0
boundary,oracle,0.6925070512214656,0.415699467961854,0.5543920113939617,0.5847929893395708,0.5612987497667475,0.43059606160669095,0.0861100711344066,0.800037268806331,0.4369650339769313,201029,0.9994282702939188
interior,U,0.8072180892089944,0.5196634690573525,0.6379076857958454,0.7592539493616101,0.7081909167195399,0.5100070535770996,0.10120195657116038,0.6090931890342685,0.3123031659135111,2277999,1.0
interior,SR,0.8180359166092698,0.554413347978135,0.6798353499657002,0.7664489458151836,0.7188023017754601,0.555022807806871,0.17737933651502547,0.5728110809386145,0.29064718165501896,2277999,1.0
interior,SC,0.8188208159880668,0.5736461438804785,0.7038625307304793,0.7625668329043982,0.7144049033882289,0.5827871332056065,0.2348257060236804,0.5611949880742296,0.2826884615526833,2277999,1.0
interior,SRSC,0.8251202041791941,0.6006937744757711,0.7346163491449474,0.765771376988442,0.7205275481783313,0.5923943890375416,0.32408178369876955,0.5374019236347737,0.26975119192291763,2277999,1.0
interior,raw,0.7330437809674192,0.45491176524487736,0.5984411363110252,0.6496939427572058,0.610311998715387,0.3970736659101914,0.1625674535967252,0.7403647374759379,0.38177157528217487,2277999,1.0
interior,deep,0.7913488987484191,0.596283976749892,0.7412730696431146,0.7254075877828251,0.662296419087416,0.5541403264529143,0.4432915736764127,1.5537061391891476,0.36538523084708874,2277999,1.0
interior,oracle,0.8350316111455957,0.5581175564261468,0.6674945223926525,0.7933866899067455,0.7523871230852479,0.5806122380237,0.10608417468889411,0.5684233544785491,0.2840400711049674,2277994,0.9999978050912226
class0,U,0.9165109886409438,0.22912774716023596,0.2391092443698613,0.9165109886409438,0.0,0.0,0.0,0.4095068084068542,0.19514701003640803,965133,1.0
class0,SR,0.9128669312934072,0.2282167328233518,0.23861224122792526,0.9128669312934072,0.0,0.0,0.0,0.3881035401439476,0.18408872260485604,965133,1.0
class0,SC,0.8822991235404861,0.22057478088512153,0.23436740539966278,0.8822991235404861,0.0,0.0,0.0,0.4006802633100261,0.19441655240770395,965133,1.0
class0,SRSC,0.8802962907702876,0.2200740726925719,0.23408446187214008,0.8802962907702876,0.0,0.0,0.0,0.38749176789187256,0.1891690152041528,965133,1.0
class0,raw,0.8387413962635202,0.20968534906588004,0.22807486631016044,0.8387413962635202,0.0,0.0,0.0,0.4802854021635555,0.24856309521710046,965133,1.0
class0,deep,0.792508390035363,0.19812709750884075,0.2210612777158963,0.792508390035363,0.0,0.0,0.0,1.5703553195917763,0.36446361953765716,965133,1.0
class0,oracle,0.950437927993924,0.237609481998481,0.2436473148805802,0.950437927993924,0.0,0.0,0.0,0.3589279400443467,0.15875655642134118,965113,0.9999792774674578
