stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_gradient_fraction,mean_gradient_norm,active_transfer_fraction,mean_dQ,dQ_negative_fraction,dQ_zero_fraction
Raw_Correct,ADT,1770736,0.20088821823241862,0.038455760768403645,0.7606560209991777,0.00015927840172344832,0.0,0.23934454373774522,0.0004794873194037246,0.23934454373774522,-9.62384154091091e-05,0.23934002584236158,0.7606554562622548
Raw_Correct,SDT,1770736,0.20088821823241862,0.038455760768403645,0.7606560209991777,-1.967048952724689e-05,0.0,0.23934454373774522,0.00039513619183098375,0.23934454373774522,-7.893135311455141e-05,0.23934002584236158,0.7606554562622548
Raw_Correct,PRG_previous,1770736,0.862226215539753,0.13777209024947817,1.6942107688554365e-06,4.869791793383437e-05,2.60616693594784e-05,1.0,0.0002551999661797184,1.0,-5.0288383404347865e-05,0.9999932231569246,0.0
Raw_Wrong,UDT,708407,0.6069420544969205,0.39305229903148897,5.646471590484001e-06,0.001567702076243537,0.0005694712563126814,1.0,0.00167990352777253,1.0,-0.00036398069993022995,0.99997035602415,0.0
Raw_Wrong,RG,708407,0.17203528480096894,0.08972808004438126,0.7382366351546498,0.0015595755529924152,0.0,0.2617633648453502,0.0016738795177539568,0.2617633648453502,-0.00036266227333001057,0.2617563067558621,0.7382366351546498
Raw_Wrong,ADT,708407,0.3558646371365613,0.029820428087243632,0.614314934776195,0.002669041267440626,0.0,0.38568506522380497,0.0022084812908269597,0.38568506522380497,-0.00047348764788356296,0.38566389095534065,0.614314934776195
Raw_Wrong,SDT,708407,0.3558646371365613,0.029820428087243632,0.614314934776195,0.0040481875925343766,0.0,0.38568506522380497,0.0031472541395253803,0.38568506522380497,-0.0006416421843403991,0.38566389095534065,0.614314934776195
Raw_Wrong,PRG_previous,708407,0.6069420544969205,0.39305229903148897,5.646471590484001e-06,0.0008709307424460161,0.00025948481197701767,1.0,0.0008620984052916422,1.0,-0.00018531692995405496,0.99997035602415,0.0
Deep-Win,UDT,314730,1.0,0.0,0.0,0.0036628789064535165,0.003005817416124046,1.0,0.002679499274549091,1.0,-0.0005986557025522927,0.9999936453468052,0.0
Deep-Win,RG,314730,0.30047977631620754,0.0,0.6995202236837924,0.003645587940991008,0.0,0.30047977631620754,0.002667135862114958,0.30047977631620754,-0.0005956788837759926,0.30047977631620754,0.6995202236837924
Deep-Win,ADT,314730,0.6403139198678233,0.0,0.3596860801321768,0.005706993122537594,0.0036198804737068713,0.6403139198678233,0.004147346159863176,0.6403139198678233,-0.0009059193786795691,0.6403107425412258,0.3596860801321768
Deep-Win,SDT,314730,0.6403139198678233,0.0,0.3596860801321768,0.008613092985267388,0.0018485627952031791,0.6403139198678233,0.006209748999473943,0.6403139198678233,-0.0012862948631945632,0.6403107425412258,0.3596860801321768
Deep-Win,PRG_previous,314730,1.0,0.0,0.0,0.0020043314670874566,0.0014957618259359151,1.0,0.0014627533551350956,1.0,-0.00032198095623625476,0.9999936453468052,0.0
Shallow-Win,UDT,182899,0.037720271844023205,0.9622687931590659,1.0934996910863373e-05,-0.0028475342924497507,-0.002137277100700885,1.0,0.0028106680968081523,1.0,-0.0005560550082391457,0.9999890650030892,0.0
Shallow-Win,RG,182899,0.00985789971514333,0.21688472873006415,0.7732573715547926,-0.0028209479341888715,0.0,0.2267480959436629,0.0027846470376509543,0.2267480959436629,-0.0005517280111651148,0.2267480959436629,0.7732519040563371
