stage,gt_class,gt_class_name,group,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,corrected_minus_harmed_mean,cohen_d_exact_moments,welch_p_on_reservoir,mann_whitney_p_on_reservoir,statistical_warning
stage1,1,stroma,HARMED_BY_FAMPR,gamma_context,929590,1.1953125,0.0,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,r_fa,929590,0.7746832111352595,0.03850335871056151,0.5576191544532776,0.7250314235687256,0.7544989883899689,0.7808054089546204,0.8008829653263092,0.8159327864646911,1.1781820058822632,"deterministic sampled reservoir, max=20000, stride=64",0.00614535682043138,0.16418477429860168,1.867374092796398e-41,7.755150846323915e-54,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,r_mpr,929590,0.26514645409289866,0.013178327565153532,0.19085316359996796,0.24815242290496825,0.25823812186717987,0.2672419250011444,0.2741136997938156,0.2792647063732147,0.40324971079826355,"deterministic sampled reservoir, max=20000, stride=64",0.0021033366616983185,0.16418477729576744,1.8640010229764026e-41,7.755292722049695e-54,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,morphology,387538,0.41048576146766713,0.034047244808500896,0.2205556184053421,0.36684468686580657,0.38758086413145065,0.4108683168888092,0.43370819836854935,0.4541229337453842,0.5418497920036316,"deterministic sampled reservoir, max=20000, stride=64",0.008389445374878512,0.24828619079789754,6.821358922253205e-48,4.1196801207529195e-50,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,dilation,387538,4.537158432066586,0.2042758022040022,3.7471516132354736,4.276041507720947,4.397623538970947,4.53271484375,4.673177242279053,4.803743505477906,5.679361820220947,"deterministic sampled reservoir, max=20000, stride=64",-0.050251833321591555,-0.24778613891671106,7.181884963414774e-48,4.855125309617622e-50,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,band_weight_0,387538,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,band_weight_1,387538,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,band_weight_2,387538,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,band_weight_3,387538,1.125,0.0,1.125,1.125,1.125,1.125,1.125,1.125,1.125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,high_frequency_ratio,387538,0.43375299858259864,0.039383926719511735,0.22911399602890015,0.3840234398841858,0.4072836562991142,0.43313588201999664,0.4602329656481743,0.48593972325325013,0.5968388915061951,"deterministic sampled reservoir, max=20000, stride=64",0.008849534396223657,0.22609895034805505,6.149750615736132e-39,2.0496539993355967e-40,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,g_low,387538,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,g_high,387538,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,g_high_over_low,387538,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,g_low_channel_std,387538,0.0006866455078125,0.0,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,g_high_channel_std,387538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,anchor_lambda,387538,0.341796875,0.0,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,gamma_context,387538,1.1953125,0.0,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,r_fa,387538,0.7824068664535494,0.033453726883470876,0.5689024329185486,0.7423428237438202,0.7663547098636627,0.7862263321876526,0.8027866184711456,0.8155434012413025,1.2606345415115356,"deterministic sampled reservoir, max=20000, stride=64",0.0057710863921026645,0.16255241475038257,1.7877794206547177e-20,3.109537766776843e-16,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,CORRECTED_BY_FAMPR,r_mpr,387538,0.26778998669573134,0.011450018437552587,0.19471502304077148,0.2540775090456009,0.2622959017753601,0.2690972238779068,0.2747652605175972,0.2791314274072647,0.43147027492523193,"deterministic sampled reservoir, max=20000, stride=64",0.0019752371498191756,0.16255241301425094,1.7862439170885485e-20,3.108848667100485e-16,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,HARMED_BY_FAMPR,morphology,443757,0.4020963160927886,0.0335626310513608,0.2116038054227829,0.3609079927206039,0.3795877993106842,0.4013417512178421,0.423797607421875,0.44535623788833617,0.5506388545036316,"deterministic sampled reservoir, max=20000, stride=64",0.008389445374878512,0.24828619079789754,6.821358922253205e-48,4.1196801207529195e-50,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,HARMED_BY_FAMPR,dilation,443757,4.587410265388177,0.2015084445540047,3.6998698711395264,4.324072265625,4.458536744117737,4.593831300735474,4.720052242279053,4.835335397720337,5.737142086029053,"deterministic sampled reservoir, max=20000, stride=64",-0.050251833321591555,-0.24778613891671106,7.181884963414774e-48,4.855125309617622e-50,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,HARMED_BY_FAMPR,band_weight_0,443757,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,2,normal,HARMED_BY_FAMPR,band_weight_1,443757,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
