stage,gt_class,gt_class_name,zone,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,zone_pixels,a0_accuracy,fampr_accuracy,corrected_rate,harmed_rate,net_correction_rate
stage1,2,normal,boundary,r_mpr,1335484,0.2642015039486185,0.014562347526344928,0.18536345660686493,0.24377653896808624,0.25763267278671265,0.26715847849845886,0.27397383749485016,0.27866148948669434,0.4407317638397217,"deterministic sampled reservoir, max=20000, stride=64",1335484,0.42135360663250176,0.4187725199253604,0.026588862165327326,0.02916994887246871,-0.002581086707141381
stage2,2,normal,boundary,morphology,1335484,0.3661541234031942,0.0392559547289967,0.1967875212430954,0.31396712362766266,0.3386605530977249,0.3676541596651077,0.39430809766054153,0.41591363549232485,0.5058364868164062,"deterministic sampled reservoir, max=20000, stride=64",1335484,0.42135360663250176,0.4187725199253604,0.026588862165327326,0.02916994887246871,-0.002581086707141381
stage2,2,normal,boundary,dilation,1335484,4.803090328219162,0.2356250401632531,3.96649169921875,4.504557132720947,4.634684085845947,4.794169187545776,4.967447757720947,5.115401077270508,5.806925296783447,"deterministic sampled reservoir, max=20000, stride=64",1335484,0.42135360663250176,0.4187725199253604,0.026588862165327326,0.02916994887246871,-0.002581086707141381
stage2,2,normal,boundary,high_frequency_ratio,1335484,0.4005087362909334,0.0473423105538227,0.19292640686035156,0.3379503607749939,0.36779914051294327,0.40156427025794983,0.43364575505256653,0.4613298803567886,0.5872395634651184,"deterministic sampled reservoir, max=20000, stride=64",1335484,0.42135360663250176,0.4187725199253604,0.026588862165327326,0.02916994887246871,-0.002581086707141381
stage2,2,normal,boundary,r_mpr,1335484,0.2613769255110646,0.01721077421489671,0.18999435007572174,0.23618840128183366,0.24941104650497437,0.2639802545309067,0.2748279944062233,0.2816735625267029,0.41245511174201965,"deterministic sampled reservoir, max=20000, stride=64",1335484,0.42135360663250176,0.4187725199253604,0.026588862165327326,0.02916994887246871,-0.002581086707141381
stage3,2,normal,boundary,morphology,1335484,0.2356505527215978,0.0404190487370657,0.10541915893554688,0.1837131455540657,0.20631949603557587,0.23643112182617188,0.26404890418052673,0.2883636385202408,0.3797963559627533,"deterministic sampled reservoir, max=20000, stride=64",1335484,0.42135360663250176,0.4187725199253604,0.026588862165327326,0.02916994887246871,-0.002581086707141381
stage3,2,normal,boundary,dilation,1335484,5.586054954455656,0.2426026097627506,4.717529296875,5.268916845321655,5.415476560592651,5.5814208984375,5.762369632720947,5.8992919921875,6.364461421966553,"deterministic sampled reservoir, max=20000, stride=64",1335484,0.42135360663250176,0.4187725199253604,0.026588862165327326,0.02916994887246871,-0.002581086707141381
stage3,2,normal,boundary,high_frequency_ratio,1335484,0.2616848806007353,0.046979594234141796,0.11577019840478897,0.202527716755867,0.22704851627349854,0.26099246740341187,0.29437900334596634,0.32398806810379027,0.4401477575302124,"deterministic sampled reservoir, max=20000, stride=64",1335484,0.42135360663250176,0.4187725199253604,0.026588862165327326,0.02916994887246871,-0.002581086707141381
stage3,2,normal,boundary,r_mpr,1335484,0.2595886717890691,0.020421015712561174,0.19095158576965332,0.23315341919660568,0.2449040599167347,0.2599220424890518,0.2741566076874733,0.2858730763196945,0.4111100733280182,"deterministic sampled reservoir, max=20000, stride=64",1335484,0.42135360663250176,0.4187725199253604,0.026588862165327326,0.02916994887246871,-0.002581086707141381
stage1,2,normal,interior,morphology,19373317,0.4143060042441041,0.034873491104790724,0.1893717497587204,0.3703999757766724,0.39061228930950165,0.413116455078125,0.43757374584674835,0.46003518700599677,0.5744832158088684,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage1,2,normal,interior,dilation,19373317,4.514184319278953,0.2092661471749643,3.556884765625,4.241357278823853,4.374349117279053,4.518717288970947,4.65625,4.780924320220947,5.864908695220947,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage1,2,normal,interior,high_frequency_ratio,19373317,0.4378741500735994,0.04012733580967245,0.19469834864139557,0.3884634882211685,0.41053633391857147,0.4356105774641037,0.4637720286846161,0.4909862428903581,0.6366727948188782,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage1,2,normal,interior,r_mpr,19373317,0.26875990936250826,0.011086320040276315,0.18106932938098907,0.256620791554451,0.2642013430595398,0.2703087478876114,0.2753591239452362,0.2790417045354843,0.4578533172607422,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage2,2,normal,interior,morphology,19373317,0.3653516306331756,0.038571556394378745,0.19847361743450165,0.31803564429283143,0.3417269363999367,0.3683573305606842,0.39544931799173355,0.4177790313959122,0.5139389038085938,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage2,2,normal,interior,dilation,19373317,4.8078789958149875,0.23149976948681059,3.9165446758270264,4.492830276489258,4.627481937408447,4.789937257766724,4.950419187545776,5.092244625091553,5.809163570404053,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage2,2,normal,interior,high_frequency_ratio,19373317,0.39965962919636505,0.046413601694640455,0.20293056964874268,0.3425622463226318,0.3706052377820015,0.4021773934364319,0.43434998393058777,0.46266312003135684,0.609464168548584,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage2,2,normal,interior,r_mpr,19373317,0.2656207604650598,0.01699713276149017,0.17935557663440704,0.23746584057807923,0.25149882584810257,0.2653607428073883,0.2777740880846977,0.28466595709323883,0.4297374188899994,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage3,2,normal,interior,morphology,19373317,0.2220559360397886,0.04253116148625508,0.09087689965963364,0.17157744914293288,0.1985330544412136,0.22865740954875946,0.25718752294778824,0.2816624969244003,0.37250009179115295,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage3,2,normal,interior,dilation,19373317,5.667629571085153,0.2552200907724711,4.7537841796875,5.310302734375,5.456380367279053,5.627400875091553,5.807291507720947,5.969686031341553,6.4576416015625,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage3,2,normal,interior,high_frequency_ratio,19373317,0.24735847214424242,0.049083938708944536,0.09911877661943436,0.1896666869521141,0.21861321851611137,0.2530006319284439,0.28688544034957886,0.3165851533412934,0.45228102803230286,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage3,2,normal,interior,r_mpr,19373317,0.2626068801174123,0.025318508747738236,0.18322645127773285,0.22241879105567933,0.2362801507115364,0.25402118265628815,0.2717462033033371,0.2878121197223664,0.45205649733543396,"deterministic sampled reservoir, max=20000, stride=64",19373317,0.6940836718874729,0.6913597191436035,0.018170817108913256,0.020894769852782567,-0.0027239527438693125
stage1,3,necrosis,boundary,morphology,340325,0.39145565868142085,0.03712456815882536,0.2065582275390625,0.3486816346645355,0.3690999448299408,0.391998291015625,0.41558837890625,0.4387105286121369,0.5439656376838684,"deterministic sampled reservoir, max=20000, stride=64",340325,0.38203481965768016,0.39655035627708807,0.03054727099096452,0.0160317343715566,0.014515536619407918
stage1,3,necrosis,boundary,dilation,340325,4.651264566430476,0.22276220065829913,3.7393391132354736,4.3671875,4.504068851470947,4.64892578125,4.789225101470947,4.904654884338379,5.763671875,"deterministic sampled reservoir, max=20000, stride=64",340325,0.38203481965768016,0.39655035627708807,0.03054727099096452,0.0160317343715566,0.014515536619407918
stage1,3,necrosis,boundary,high_frequency_ratio,340325,0.4148721222397005,0.041541766239344316,0.20817528665065765,0.3667106568813324,0.3899182081222534,0.41468584537506104,0.4415578842163086,0.4684529960155487,0.6039848923683167,"deterministic sampled reservoir, max=20000, stride=64",340325,0.38203481965768016,0.39655035627708807,0.03054727099096452,0.0160317343715566,0.014515536619407918
stage1,3,necrosis,boundary,r_mpr,340325,0.27539651825221695,0.009599067821435062,0.19220049679279327,0.2634964644908905,0.27081549167633057,0.27700182795524597,0.2814702093601227,0.2848165452480316,0.3941352665424347,"deterministic sampled reservoir, max=20000, stride=64",340325,0.38203481965768016,0.39655035627708807,0.03054727099096452,0.0160317343715566,0.014515536619407918
stage2,3,necrosis,boundary,morphology,340325,0.358462645918479,0.04250829901067448,0.1989949494600296,0.30345611572265624,0.3306935727596283,0.36073556542396545,0.3898874819278717,0.4132222533226013,0.527099609375,"deterministic sampled reservoir, max=20000, stride=64",340325,0.38203481965768016,0.39655035627708807,0.03054727099096452,0.0160317343715566,0.014515536619407918
stage2,3,necrosis,boundary,dilation,340325,4.849173189119913,0.2550349396083352,3.8395183086395264,4.520833492279053,4.659830570220947,4.8348388671875,5.015625,5.1796143531799315,5.811197757720947,"deterministic sampled reservoir, max=20000, stride=64",340325,0.38203481965768016,0.39655035627708807,0.03054727099096452,0.0160317343715566,0.014515536619407918
