stage,gt_class,gt_class_name,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,correlation_with_morphology,correlation_with_high_frequency_ratio
stage2,2,normal,band_weight_3,20708801,1.2109375,0.0,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,2,normal,high_frequency_ratio,20708801,0.39971438702319834,0.046474520731067274,0.19292640686035156,0.34328014552593233,0.3727656602859497,0.40493616461753845,0.4367583319544792,0.4629959583282471,0.609464168548584,"deterministic sampled reservoir, max=20000, stride=64",0.9733054321657463,0.9999999999982523
stage2,2,normal,g_low,20708801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,2,normal,g_high,20708801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,2,normal,g_high_over_low,20708801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,2,normal,g_low_channel_std,20708801,0.001739501953125,0.0,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,2,normal,g_high_channel_std,20708801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,2,normal,anchor_lambda,20708801,0.326171875,0.0,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,2,normal,gamma_context,20708801,1.5859375,0.0,1.5859375,1.5859375,1.5859375,1.5859375,1.5859375,1.5859375,1.5859375,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,2,normal,r_fa,20708801,0.8156601300242632,0.052388797605951797,0.5513277053833008,0.7265406608581543,0.76835498213768,0.8118521571159363,0.8490962982177734,0.8725274443626404,1.3209856748580933,"deterministic sampled reservoir, max=20000, stride=64",-0.2401447258850877,-0.24052035611124287
stage2,2,normal,r_mpr,20708801,0.2653470809951715,0.017042897944247345,0.17935557663440704,0.23635511994361877,0.24995797500014305,0.2641083002090454,0.27622437477111816,0.28384692668914796,0.4297374188899994,"deterministic sampled reservoir, max=20000, stride=64",-0.24014469998475724,-0.24052033340557163
stage2,3,necrosis,morphology,9303081,0.353438374055716,0.04521343575071202,0.11225191503763199,0.2987462282180786,0.3268871232867241,0.3572591245174408,0.38713327050209045,0.41121392846107485,0.5314076542854309,"deterministic sampled reservoir, max=20000, stride=64",0.999999999996307,0.9784272596030495
stage2,3,necrosis,dilation,9303081,4.879361278513516,0.27130241002156047,3.8138427734375,4.53172607421875,4.6765440702438354,4.855916500091553,5.0387879610061646,5.208504247665405,6.337076663970947,"deterministic sampled reservoir, max=20000, stride=64",-0.999818788596106,-0.9782519127929122
stage2,3,necrosis,band_weight_0,9303081,0.9921875,0.0,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,3,necrosis,band_weight_1,9303081,1.0078125,0.0,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,3,necrosis,band_weight_2,9303081,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,3,necrosis,band_weight_3,9303081,1.2109375,0.0,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,3,necrosis,high_frequency_ratio,9303081,0.3864619905404116,0.05432249491591856,0.10473919659852982,0.32148017883300783,0.35435155034065247,0.3904265761375427,0.4267210215330124,0.4564502984285355,0.6259785294532776,"deterministic sampled reservoir, max=20000, stride=64",0.9784272596030495,0.9999999999986173
stage2,3,necrosis,g_low,9303081,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,3,necrosis,g_high,9303081,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,3,necrosis,g_high_over_low,9303081,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,3,necrosis,g_low_channel_std,9303081,0.001739501953125,0.0,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,3,necrosis,g_high_channel_std,9303081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,3,necrosis,anchor_lambda,9303081,0.326171875,0.0,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
